firm,assets,industry,nation,number,canada,us,other,uk
52,5479,MER,CAN,7,1,0,0,0
53,5437,TRN,US,12,0,1,0,0
54,5429,MER,US,15,0,1,0,0
55,5366,TRN,US,13,0,1,0,0
56,5035,MIN,US,16,0,1,0,0
57,5021,MIN,OTH,27,0,0,1,0
58,4980,AGR,CAN,12,1,0,0,0
59,4838,TRN,CAN,11,1,0,0,0
60,4634,MIN,US,0,0,1,0,0
61,4592,TRN,US,16,0,1,0,0
62,4390,TRN,CAN,17,1,0,0,0
63,4304,WOD,CAN,55,1,0,0,0
64,4298,AGR,OTH,15,0,0,1,0
65,4227,FIN,CAN,44,1,0,0,0
66,4210,MIN,US,18,0,1,0,0
67,4154,FIN,OTH,20,0,0,1,0
68,4100,MAN,US,19,0,1,0,0
69,4099,MAN,US,9,0,1,0,0
70,4088,FIN,CAN,12,1,0,0,0
71,3960,CON,OTH,17,0,0,1,0
72,3896,AGR,CAN,15,1,0,0,0
73,3879,WOD,CAN,27,1,0,0,0
74,3673,MER,CAN,30,1,0,0,0
75,3654,MIN,OTH,27,0,0,1,0
76,3631,TRN,US,12,0,1,0,0
77,3606,MIN,UK,11,0,0,0,1
78,3570,MER,CAN,28,1,0,0,0
79,3561,MIN,US,8,0,1,0,0
80,3274,TRN,CAN,12,1,0,0,0
81,3152,MAN,US,18,0,1,0,0
82,3058,WOD,UK,23,0,0,0,1
83,2958,WOD,CAN,51,1,0,0,0
84,2927,MIN,OTH,35,0,0,1,0
85,2878,MER,CAN,8,1,0,0,0
86,2814,AGR,CAN,43,1,0,0,0
87,2807,MIN,CAN,4,1,0,0,0
88,2801,WOD,CAN,18,1,0,0,0
89,2786,AGR,OTH,20,0,0,1,0
90,2757,MIN,UK,13,0,0,0,1
91,2667,MIN,UK,22,0,0,0,1
92,2625,AGR,UK,10,0,0,0,1
93,2566,MER,US,1,0,1,0,0
94,2549,HLD,US,6,0,1,0,0
95,2488,AGR,CAN,30,1,0,0,0
96,2285,MIN,US,6,0,1,0,0
97,2281,WOD,US,11,0,1,0,0
98,2182,AGR,US,20,0,1,0,0
99,2165,MIN,US,7,0,1,0,0
100,2164,MIN,OTH,13,0,0,1,0
101,2141,MIN,US,0,0,1,0,0
102,2108,MAN,UK,14,0,0,0,1
103,2086,MIN,US,19,0,1,0,0
104,2025,AGR,CAN,4,1,0,0,0
105,1881,AGR,CAN,2,1,0,0,0
106,1876,MER,CAN,2,1,0,0,0
107,1841,WOD,US,7,0,1,0,0
108,1656,MIN,OTH,25,0,0,1,0
109,1655,MER,CAN,29,1,0,0,0
110,1612,MER,CAN,5,1,0,0,0
111,1603,MIN,US,12,0,1,0,0
112,1601,WOD,CAN,25,1,0,0,0
113,1591,AGR,US,2,0,1,0,0
114,1583,HLD,CAN,25,1,0,0,0
115,1561,MIN,US,2,0,1,0,0
116,1520,MAN,US,16,0,1,0,0
117,1511,WOD,US,3,0,1,0,0
118,1487,MIN,OTH,9,0,0,1,0
119,1482,MAN,US,1,0,1,0,0
120,1477,MAN,US,0,0,1,0,0
121,1469,MIN,US,1,0,1,0,0
122,1434,MIN,US,1,0,1,0,0
123,1427,HLD,CAN,1,1,0,0,0
124,1416,MER,CAN,6,1,0,0,0
125,1378,MIN,US,12,0,1,0,0
126,1372,MIN,US,5,0,1,0,0
127,1343,WOD,UK,5,0,0,0,1
128,1337,MIN,US,0,0,1,0,0
129,1335,MAN,CAN,4,1,0,0,0
130,1315,MIN,OTH,5,0,0,1,0
131,1235,MAN,CAN,33,1,0,0,0
132,1172,AGR,CAN,11,1,0,0,0
133,1154,MAN,US,3,0,1,0,0
134,1154,HLD,CAN,3,1,0,0,0
135,1112,AGR,US,5,0,1,0,0
136,1060,AGR,CAN,25,1,0,0,0
137,1027,MIN,OTH,14,0,0,1,0
138,984,MER,US,1,0,1,0,0
139,978,MAN,US,0,0,1,0,0
140,953,MIN,US,12,0,1,0,0
141,950,WOD,CAN,18,1,0,0,0
142,943,MER,US,11,0,1,0,0
143,904,MIN,CAN,39,1,0,0,0
144,898,AGR,UK,3,0,0,0,1
145,888,WOD,CAN,2,1,0,0,0
146,848,WOD,CAN,8,1,0,0,0
147,844,MAN,US,0,0,1,0,0
148,839,TRN,CAN,11,1,0,0,0
149,832,AGR,CAN,13,1,0,0,0
150,830,MIN,UK,1,0,0,0,1
151,816,MIN,CAN,10,1,0,0,0
152,809,MAN,UK,0,0,0,0,1
153,802,MAN,CAN,0,1,0,0,0
154,798,AGR,CAN,11,1,0,0,0
155,789,MIN,UK,9,0,0,0,1
156,789,MAN,US,6,0,1,0,0
157,782,MER,CAN,11,1,0,0,0
158,780,MAN,US,1,0,1,0,0
159,779,MER,CAN,14,1,0,0,0
160,761,WOD,US,1,0,1,0,0
161,751,AGR,CAN,8,1,0,0,0
162,742,AGR,CAN,7,1,0,0,0
163,727,AGR,CAN,1,1,0,0,0
164,707,AGR,US,9,0,1,0,0
165,704,HLD,CAN,10,1,0,0,0
166,702,MAN,CAN,3,1,0,0,0
167,690,WOD,OTH,0,0,0,1,0
168,677,MAN,CAN,12,1,0,0,0
169,638,MAN,US,6,0,1,0,0
170,637,AGR,US,1,0,1,0,0
171,636,MIN,US,0,0,1,0,0
172,614,CON,CAN,2,1,0,0,0
173,590,MAN,US,2,0,1,0,0
174,589,MIN,OTH,23,0,0,1,0
175,586,TRN,CAN,10,1,0,0,0
176,575,AGR,CAN,1,1,0,0,0
177,566,AGR,US,0,0,1,0,0
178,559,MAN,US,7,0,1,0,0
179,558,AGR,CAN,14,1,0,0,0
180,552,AGR,CAN,7,1,0,0,0
181,548,MIN,US,5,0,1,0,0
182,540,MAN,CAN,6,1,0,0,0
183,539,AGR,CAN,9,1,0,0,0
184,533,TRN,CAN,5,1,0,0,0
185,523,MAN,US,8,0,1,0,0
186,519,MAN,US,8,0,1,0,0
187,519,AGR,CAN,0,1,0,0,0
188,516,TRN,CAN,5,1,0,0,0
189,511,HLD,CAN,0,1,0,0,0
190,510,MAN,CAN,11,1,0,0,0
191,508,MAN,OTH,1,0,0,1,0
192,497,AGR,CAN,4,1,0,0,0
193,495,MAN,CAN,0,1,0,0,0
194,494,MER,CAN,8,1,0,0,0
195,488,MAN,CAN,1,1,0,0,0
196,487,MAN,CAN,8,1,0,0,0
197,471,MER,US,0,0,1,0,0
198,456,MIN,US,5,0,1,0,0
199,456,MAN,US,0,0,1,0,0
200,444,AGR,US,1,0,1,0,0
201,438,MAN,UK,18,0,0,0,1
202,432,MAN,US,1,0,1,0,0
203,432,MAN,CAN,3,1,0,0,0
204,422,WOD,US,11,0,1,0,0
205,407,MIN,US,6,0,1,0,0
206,402,MAN,US,0,0,1,0,0
207,391,AGR,CAN,28,1,0,0,0
208,387,MER,CAN,11,1,0,0,0
209,386,CON,OTH,2,0,0,1,0
210,379,MAN,US,16,0,1,0,0
211,376,MER,CAN,5,1,0,0,0
212,375,MAN,US,8,0,1,0,0
213,372,AGR,US,8,0,1,0,0
214,370,AGR,UK,3,0,0,0,1
215,364,TRN,US,5,0,1,0,0
216,361,MIN,US,2,0,1,0,0
217,359,AGR,US,0,0,1,0,0
218,358,AGR,US,0,0,1,0,0
219,352,WOD,CAN,21,1,0,0,0
220,350,MAN,US,1,0,1,0,0
221,345,MER,US,8,0,1,0,0
222,332,MAN,US,0,0,1,0,0
223,326,AGR,CAN,3,1,0,0,0
224,326,AGR,US,0,0,1,0,0
225,326,MAN,CAN,28,1,0,0,0
226,325,MAN,OTH,0,0,0,1,0
227,318,AGR,CAN,2,1,0,0,0
228,312,MAN,US,2,0,1,0,0
229,305,AGR,UK,4,0,0,0,1
230,304,MER,US,4,0,1,0,0
231,303,WOD,UK,3,0,0,0,1
232,297,CON,CAN,2,1,0,0,0
233,276,MIN,CAN,9,1,0,0,0
234,270,MAN,CAN,4,1,0,0,0
235,261,CON,UK,1,0,0,0,1
236,256,MAN,US,1,0,1,0,0
237,245,MIN,CAN,11,1,0,0,0
238,241,MIN,US,3,0,1,0,0
239,225,AGR,US,6,0,1,0,0
240,225,MIN,UK,8,0,0,0,1
241,220,AGR,US,0,0,1,0,0
242,201,AGR,US,5,0,1,0,0
243,200,MAN,US,0,0,1,0,0
244,188,MAN,US,0,0,1,0,0
245,160,AGR,CAN,0,1,0,0,0
246,158,AGR,CAN,5,1,0,0,0
247,119,AGR,CAN,6,1,0,0,0
248,62,MIN,US,0,0,1,0,0
